Gene-Name	True-Classification
Mesodinium_rubrum|Trans_2708_Len_777_Cov_107.92_OG5_126641	Cryptophyte
Mesodinium_rubrum|Trans_5849_Len_849_Cov_51.84_OG5_126893	Cryptophyte
Mesodinium_rubrum|Trans_6168_Len_1140_Cov_452.34_OG5_126984	Mesodinium
Mesodinium_rubrum|Trans_8068_Len_870_Cov_11.42_OG5_128941	Cryptophyte
Mesodinium_rubrum|Trans_3551_Len_1491_Cov_71.98_OG5_135569	Mesodinium
Mesodinium_rubrum|Trans_16244_Len_249_Cov_53.30_OG5_127484	Cryptophyte
Mesodinium_rubrum|Trans_9782_Len_459_Cov_26.02_OG5_127497	Cryptophyte
Mesodinium_rubrum|Trans_3617_Len_216_Cov_11.29_OG5_126866	Mesodinium
Mesodinium_rubrum|Trans_6220_Len_879_Cov_52.16_OG5_126748	Mesodinium
Mesodinium_rubrum|Trans_2_Len_8775_Cov_103.75_OG5_126558	Mesodinium
Mesodinium_rubrum|Trans_24999_Len_420_Cov_122.10_OG5_128581	Mesodinium
Mesodinium_rubrum|Trans_582_Len_2547_Cov_47.50_OG5_132450	Mesodinium
Mesodinium_rubrum|Trans_7727_Len_573_Cov_101.83_OG5_126812	Mesodinium
Mesodinium_rubrum|Trans_12379_Len_321_Cov_20.42_OG5_129285	Cryptophyte
Mesodinium_rubrum|Trans_17481_Len_432_Cov_23.97_OG5_126569	Cryptophyte
Mesodinium_rubrum|Trans_243_Len_2721_Cov_120.81_OG5_143081	Cryptophyte
Mesodinium_rubrum|Trans_13471_Len_549_Cov_11.53_OG5_129841	Cryptophyte
Mesodinium_rubrum|Trans_5477_Len_321_Cov_15.57_OG5_129936	Mesodinium
Mesodinium_rubrum|Trans_5377_Len_759_Cov_23.52_OG5_127491	Cryptophyte
Mesodinium_rubrum|Trans_528_Len_1155_Cov_24.36_OG5_128542	Mesodinium
Mesodinium_rubrum|Trans_16601_Len_396_Cov_78.14_OG5_126930	Cryptophyte
Mesodinium_rubrum|Trans_11437_Len_528_Cov_10.26_OG5_129315	Cryptophyte
Mesodinium_rubrum|Trans_2933_Len_1161_Cov_94.32_OG5_132007	Mesodinium
Mesodinium_rubrum|Trans_9522_Len_873_Cov_10.16_OG5_141273	Mesodinium
Mesodinium_rubrum|Trans_550_Len_2145_Cov_33.87_OG5_127864	Cryptophyte
Mesodinium_rubrum|Trans_10938_Len_720_Cov_25.02_OG5_129074	Cryptophyte
Mesodinium_rubrum|Trans_3777_Len_1326_Cov_20.69_OG5_126754	Mesodinium
Mesodinium_rubrum|Trans_808_Len_1434_Cov_19.61_OG5_126857	Cryptophyte
Mesodinium_rubrum|Trans_1414_Len_1812_Cov_135.16_OG5_128744	Cryptophyte
Mesodinium_rubrum|Trans_10553_Len_489_Cov_21.22_OG5_126817	Mesodinium
Mesodinium_rubrum|Trans_6020_Len_333_Cov_19.56_OG5_128975	Cryptophyte
Mesodinium_rubrum|Trans_17211_Len_531_Cov_33.11_OG5_126711	Mesodinium
Mesodinium_rubrum|Trans_4684_Len_693_Cov_33.48_OG5_149154	Cryptophyte
Mesodinium_rubrum|Trans_12501_Len_471_Cov_18.69_OG5_127609	Mesodinium
Mesodinium_rubrum|Trans_9035_Len_669_Cov_42.24_OG5_126888	Mesodinium
